time_stamp,day,power_stove
1,13,718.0
2,13,
3,13,
4,13,
5,13,
6,13,
7,13,
8,13,
9,13,
10,13,
11,13,
12,13,
13,13,
14,13,
15,13,
16,13,
17,13,
18,13,
19,13,
20,13,
21,13,
22,13,
23,13,
0,14,
1,14,
2,14,
3,14,
4,14,
5,14,
6,14,
7,14,
8,14,
9,14,
10,14,
11,14,
12,14,
13,14,
14,14,
15,14,
16,14,
17,14,
18,14,
19,14,
20,14,
21,14,
22,14,
23,14,
0,15,
1,15,
2,15,
3,15,
4,15,
5,15,
6,15,
7,15,
8,15,
9,15,
10,15,
11,15,
12,15,
13,15,
14,15,
15,15,
16,15,
17,15,
18,15,
19,15,
20,15,
21,15,
22,15,
23,15,
0,16,
1,16,
2,16,
3,16,
4,16,
5,16,
6,16,
7,16,
8,16,
9,16,
10,16,
11,16,
12,16,
13,16,
14,16,
15,16,
16,16,
17,16,
18,16,
19,16,
20,16,
21,16,
22,16,
23,16,
0,17,
1,17,
2,17,
3,17,
4,17,
5,17,
6,17,
7,17,
8,17,
9,17,
10,17,
11,17,
12,17,
13,17,
14,17,
15,17,
16,17,
17,17,
18,17,
19,17,
20,17,
21,17,
22,17,
23,17,
0,18,
1,18,
2,18,
3,18,
4,18,
5,18,
6,18,
7,18,
8,18,
9,18,
10,18,
11,18,
12,18,
13,18,
14,18,
15,18,
16,18,
17,18,
18,18,
19,18,
20,18,
21,18,
22,18,
23,18,
0,19,
1,19,
2,19,
3,19,
4,19,
5,19,278.0
6,19,3181.0
7,19,3216.0
8,19,3067.0
9,19,3034.0
10,19,3044.0
11,19,86178.0
12,19,2842.0
13,19,2801.0
14,19,2750.0
15,19,2775.0
16,19,2718.0
17,19,2635.0
18,19,2615.0
19,19,2653.0
20,19,2551.0
21,19,2544.0
22,19,2641.0
23,19,2623.0
0,20,2497.0
1,20,2494.0
2,20,2483.0
3,20,2503.0
4,20,3086.0
5,20,2950.0
6,20,3029.0
7,20,3428.0
8,20,3698.0
9,20,3570.0
10,20,3025.0
11,20,16589.0
12,20,2788.0
13,20,2851.0
14,20,267.0
15,20,
16,20,
17,20,
18,20,
19,20,
20,20,
21,20,
22,20,
23,20,
0,21,
1,21,
2,21,
3,21,
4,21,
5,21,
6,21,
7,21,
8,21,
9,21,2753.0
10,21,3152.0
11,21,130750.0
12,21,2932.0
13,21,2983.0
14,21,2788.0
15,21,2747.0
16,21,2939.0
17,21,2984.0
18,21,3006.0
19,21,2918.0
20,21,2723.0
21,21,3027.0
22,21,2791.0
23,21,2897.0
0,22,2548.0
1,22,2493.0
2,22,3184.0
3,22,2492.0
4,22,2610.0
5,22,3440.0
6,22,3477.0
7,22,3496.0
8,22,3524.0
9,22,3324.0
10,22,3315.0
11,22,3227.0
12,22,3312.0
13,22,2961.0
14,22,3060.0
15,22,2991.0
16,22,3093.0
17,22,3246.0
18,22,3308.0
19,22,3389.0
20,22,3368.0
21,22,3343.0
22,22,3397.0
23,22,3457.0
0,23,3361.0
1,23,3406.0
2,23,2869.0
3,23,3299.0
4,23,3385.0
5,23,3430.0
6,23,3270.0
7,23,3359.0
8,23,3366.0
9,23,3366.0
10,23,3378.0
11,23,3380.0
12,23,143722.0
13,23,2491.0
14,23,2496.0
15,23,2493.0
16,23,2431.0
17,23,2480.0
18,23,2497.0
19,23,1438.0
20,23,828.0
21,23,1248.0
22,23,1252.0
23,23,1795.0
0,24,1248.0
1,24,1244.0
2,24,1243.0
3,24,1729.0
4,24,1883.0
5,24,1938.0
6,24,1812.0
7,24,1909.0
8,24,1781.0
9,24,128071.0
10,24,1717.0
11,24,1509.0
12,24,1467.0
13,24,1667.0
14,24,1701.0
15,24,1593.0
16,24,1591.0
17,24,1654.0
18,24,1632.0
19,24,1652.0
20,24,1693.0
21,24,1787.0
22,24,1712.0
23,24,1359.0
0,25,1245.0
1,25,262.0
