time_stamp,day,power_dishwaser
13,22,103.0
14,22,68.0
15,22,0.0
16,22,107.0
17,22,75.0
18,22,86.0
19,22,78.0
20,22,69.0
21,22,28.0
22,22,91.0
23,22,264.0
0,23,167910.0
1,23,679134.0
2,23,189703.0
3,23,21.0
4,23,17.0
5,23,20.0
6,23,2.0
7,23,14.0
8,23,16.0
9,23,3.0
10,23,52.0
11,23,93.0
12,23,0.0
13,23,71.0
14,23,39.0
15,23,0.0
16,23,27.0
17,23,26.0
18,23,5.0
19,23,22.0
20,23,0.0
21,23,32.0
22,23,26.0
23,23,1.0
0,24,37.0
1,24,16.0
2,24,8.0
3,24,28.0
4,24,0.0
5,24,20.0
6,24,19.0
7,24,3.0
8,24,33.0
9,24,11.0
10,24,22.0
11,24,19.0
12,24,17.0
13,24,1.0
14,24,549.0
15,24,6.0
16,24,14.0
17,24,17.0
18,24,13.0
19,24,21.0
20,24,4.0
21,24,17.0
22,24,34.0
23,24,14.0
0,25,20.0
1,25,15.0
2,25,8.0
3,25,17.0
4,25,23.0
5,25,25.0
6,25,29.0
7,25,2.0
8,25,16.0
9,25,22.0
10,25,43.0
11,25,10.0
12,25,8.0
13,25,13.0
14,25,15.0
15,25,14.0
16,25,10.0
17,25,5.0
18,25,31.0
19,25,14.0
20,25,22.0
21,25,18.0
22,25,
23,25,
0,26,2.0
1,26,16.0
2,26,46.0
3,26,27.0
4,26,16.0
5,26,7.0
6,26,17.0
7,26,32.0
8,26,484.0
9,26,55.0
10,26,17.0
11,26,32.0
12,26,26.0
13,26,20.0
14,26,16.0
15,26,3.0
16,26,14.0
17,26,18.0
18,26,2.0
19,26,24.0
20,26,20.0
21,26,0.0
22,26,20.0
23,26,8.0
0,27,2.0
1,27,13.0
2,27,339.0
3,27,152.0
4,27,31.0
5,27,15.0
6,27,0.0
7,27,15.0
8,27,17.0
9,27,3.0
10,27,9.0
11,27,30.0
12,27,85.0
13,27,3.0
14,27,29.0
15,27,13.0
16,27,73.0
17,27,12.0
18,27,116.0
19,27,19.0
20,27,11.0
21,27,10.0
22,27,39.0
23,27,548.0
0,28,371455.0
1,28,609464.0
2,28,91247.0
3,28,22.0
4,28,10.0
5,28,12.0
6,28,65.0
7,28,3.0
8,28,19.0
9,28,16.0
10,28,27.0
11,28,83.0
12,28,41.0
13,28,96.0
14,28,0.0
15,28,131.0
16,28,68.0
17,28,95.0
18,28,46.0
19,28,128.0
20,28,47.0
21,28,97.0
22,28,222.0
23,28,287.0
0,29,27.0
1,29,151.0
2,29,542356.0
3,29,329248.0
4,29,400828.0
5,29,43.0
6,29,26.0
7,29,0.0
8,29,52.0
9,29,25.0
10,29,1.0
11,29,78.0
12,29,648.0
13,29,75.0
14,29,201.0
15,29,72.0
16,29,34.0
17,29,46.0
18,29,15.0
19,29,39.0
20,29,15.0
21,29,476786.0
22,29,573212.0
23,29,84690.0
0,30,54.0
1,30,43.0
2,30,52.0
3,30,57.0
4,30,63.0
5,30,53.0
6,30,39.0
7,30,46.0
8,30,60.0
9,30,60.0
10,30,37.0
11,30,29.0
12,30,33.0
13,30,28.0
14,30,25.0
15,30,24.0
16,30,54.0
17,30,53.0
18,30,28.0
19,30,41.0
20,30,39.0
21,30,35.0
22,30,57.0
23,30,302.0
0,31,327.0
1,31,105.0
2,31,684.0
3,31,108.0
4,31,73.0
5,31,73.0
6,31,520.0
7,31,480001.0
8,31,310139.0
9,31,38.0
10,31,22.0
11,31,36.0
12,31,78.0
13,31,49.0
14,31,42.0
15,31,51.0
16,31,49.0
17,31,56.0
18,31,57.0
19,31,37.0
20,31,56.0
21,31,44.0
22,31,34.0
23,31,62.0
0,32,65.0
1,32,27.0
2,32,82.0
3,32,38.0
4,32,45.0
5,32,52.0
6,32,88.0
7,32,55.0
8,32,44.0
9,32,52.0
10,32,45.0
11,32,45.0
12,32,111.0
13,32,40.0
14,32,61.0
15,32,78.0
16,32,54.0
17,32,59.0
18,32,47.0
19,32,63.0
20,32,651.0
21,32,73.0
22,32,58.0
23,32,57.0
0,33,53.0
1,33,58.0
2,33,44.0
3,33,59.0
4,33,58.0
5,33,55.0
6,33,53.0
7,33,44.0
8,33,48.0
9,33,51.0
10,33,54.0
11,33,63.0
12,33,35.0
13,33,52.0
14,33,31.0
15,33,84.0
16,33,44.0
17,33,32.0
18,33,30.0
19,33,70.0
20,33,54.0
21,33,88.0
22,33,59.0
23,33,153.0
0,34,267622.0
1,34,148269.0
2,34,22.0
3,34,26.0
4,34,91.0
5,34,46.0
6,34,21.0
7,34,8.0
8,34,34.0
9,34,577.0
10,34,42.0
11,34,30.0
12,34,99.0
13,34,65.0
14,34,50.0
15,34,94.0
16,34,95.0
17,34,47.0
18,34,31.0
19,34,112.0
20,34,63.0
21,34,68.0
22,34,81.0
23,34,92.0
0,35,117.0
1,35,104.0
2,35,51.0
3,35,77.0
4,35,69.0
5,35,48.0
6,35,119.0
7,35,45.0
8,35,69.0
9,35,79.0
10,35,192.0
11,35,115526.0
12,35,714493.0
13,35,341160.0
14,35,176.0
15,35,157.0
16,35,218.0
17,35,59.0
18,35,636.0
19,35,38.0
20,35,219.0
21,35,54.0
22,35,96.0
23,35,147181.0
0,36,693167.0
1,36,225389.0
2,36,510.0
3,36,482.0
4,36,43.0
5,36,0.0
6,36,5.0
7,36,25.0
8,36,21.0
9,36,14.0
10,36,6.0
11,36,43.0
12,36,41.0
13,36,0.0
14,36,0.0
15,36,68.0
16,36,66.0
17,36,20.0
18,36,0.0
19,36,34.0
20,36,23.0
21,36,27.0
22,36,351.0
23,36,405.0
0,37,25.0
1,37,21.0
2,37,260994.0
3,37,703630.0
4,37,171236.0
5,37,0.0
6,37,18.0
7,37,25.0
8,37,0.0
9,37,38.0
10,37,25.0
11,37,76.0
12,37,91.0
13,37,63.0
14,37,70.0
15,37,45.0
16,37,24.0
17,37,72.0
18,37,40.0
19,37,5.0
